,Graze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13
31,Andy Martin's Showsaver,10,Clear,,Gloss,Ox. or Red.,Transparent,Barium carbonate	22.90,Gerstley borate	3.80,Strontium carbonate	13.00,Wollastonite	3.40,Nepheline syenite	26.90,Ball clay	9.50,Flint	20.50,,,,,,
32,Angel Eyes,10,,,,,,EPK	10.00,Whiting	20.00,Silica	30.00,Potash feldspar	40.00,Red iron oxide	3.33,Rutile	3.33,,,,,,,
33,ash - Fake Martell,10,gray?,,runny fake ash,,,Dolomite	8.00,Whiting	34.00,Potash feldspar	5.00,Kaolin	33.00,Silica	20.00,,,,,,,,
34,ash Benji's,8-10,Tan,Tested,Satin matt,Reduction,Opaque,Hardwood ash	16.50,Softwood ash	16.50,Custer spar	39.00,EPK	13.00,Whiting	6.00,Barium carbonate	5.00,Flint	4.00,Bentonite	1.00,Black iron oxide	1.00,,,,
35,ash Benji's remix,8-10,Tan,Tested,Satin matt,Reduction,Opaque,Custer spar	39.00,EPK	13.00,Whiting	6.00,Barium carbonate	5.00,Flint	4.00,Ash wood	33.00,Bentonite	1.00,Black iron oxide	1.00,,,,,
36,Ash Blue van Gilder,10,Blue,,,Reduction,Semi-opaque,Custer feldspar	5.00,Whiting	31.00,Tennessee #10	24.00,Silica	22.50,Dolomite	2.50,Ash wood	15.00,Red iron oxide	0.80,Cobalt carbonate	0.50,,,,,
37,Ash Cooter Green,9 - 10,green,,Semi-gloss,Reduction,Semi-opaque,Nepheline syenite	40.00,Custer feldspar	40.00,Wood ash	20.00,,,,,,,,,,
38,ash Fake - Martell,10,gray?,,runny fake ash,,,Dolomite	8.00,Whiting	34.00,Potash feldspar	5.00,Kaolin	33.00,Silica	20.00,,,,,,,,
39,Ash Fake blue,9-10,Blue,,,Ox. or Red.,,Alberta slip	52.00,Whiting	32.00,Kentucky OM #4	16.00,Cobalt oxide	1.00,Red iron oxide	2.00,,,,,,,,
40,ash fake BP26S Light green,8,light green,,ash-like,,,Potash feldspar	40.00,China clay	20.00,Dolomite	18.00,Talc	8.00,Whiting	5.00,Zinc oxide	4.00,Quartz	5.00,Copper carbonate	1.00,,,,,
41,Ash fake BP26S Light green,8,light green,,ash-like,Oxidation,Semi-opaque,Potash feldspar	40.00,China clay	20.00,Dolomite	18.00,Talc	8.00,Whiting	5.00,Zinc oxide	4.00,Quartz	5.00,Copper carbonate	1.00,,,,,
42,Ash Felix's Green,8-10,Green,Tested,Waxy,Reduction,Opaque,Mixed hardwood ash	20.00,Dolomite	14.00,Silica	20.00,Custer spar	20.00,Nepheline syenite	14.00,EPK	10.00,Gerstley borate	2.00,Bentonite	2.00,Black iron oxide	1.00,,,,
43,Ash Fresca Base,10,Tan,,Waxy,Reduction,Translucent,Wood ash	50.00,Kentucky OM #4	12.50,G-200 feldspar	12.50,Silica	12.50,Whiting	12.50,Bentonite	2.00,,,,,,,
44,Ash Green Cooter,9 - 10,green,Untested,,salt,,Nepheline syenite	40.00,Custer feldspar	40.00,Wood Ash	20.00,,,,,,,,,,
45,Ash Hanna's Fake,10,,,runny fake ash,Reduction,,Whiting	30.00,Strontium carbonate	10.00,Redart clay	60.00,Yellow ochre	4.00,,,,,,,,,
46,Ash Honey Doug's,10,Amber,,Semi-gloss,Reduction,Translucent,Custer feldspar	35.00,Wood ash	35.00,EPK	15.00,Dolomite	15.00,Zircopax	5.00,,,,,,,,
47,Ash Katz Fake,10,,Untested,,reduction,,Barnard slip	55.00,Whiting	45.00,,,,,,,,,,,
48,Ash Lanman Fake Wood,9 - 10,greenish brown,,Streaky,Ox. or Red.,Semi-opaque,Custer feldspar	15.00,Dolomite	9.00,Strontium carbonate	6.75,Whiting	30.00,Ball clay	18.00,Flint	19.00,Iron oxide	4.00,,,,,,
49,Ash McWhinnie Base,8 - 10,base glaze,,,,,Gerstley borate	8.45,Magnesium carbonate	1.86,Whiting	15.30,Wood ash	14.54,Custer feldspar	15.55,Georgia kaolin	10.91,Flint	33.39,,,,,,
50,Ash pale green,10,Green,,Satin matt,Reduction,Translucent,Feldspar	10.00,Whiting	8.00,Flint	20.00,Ball clay	6.00,Kaolin	6.00,Albany slip	15.00,Ash wood	35.00,Zircopax	4.00,,,,,
51,Ash Richard's Drip Fake,10,,,Matt,Reduction,Translucent,Custer feldspar	21.50,EPK	24.70,Silica	8.10,Talc theoretical	2.70,Whiting	43.00,,,,,,,,
52,Ash Tom Turners,10,Tan,,Waxy,Reduction,Translucent,Kentucky OM #4	20.00,G-200 feldspar	40.00,Wood ash	40.00,,,,,,,,,,
53,Ash V.C. Mixed,9 - 10,Yellow to brown,Untested,Satin matt,Reduction,Semi-opaque,Custer spar	30.00,Ash wood	45.00,Yellow ochre	25.00,,,,,,,,,,
54,"Ash, fake Donna's",9,Amber,,Satin matt,Reduction,Translucent,Albany slip	60.00,Whiting	30.00,Barium carbonate	10.00,Rutile	5.00,,,,,,,,,
55,Avery Salt Slip - Wild,10,orange,,slip,,,Avery kaolin	25.00,Grolleg	50.00,Calcined kaolin	25.00,,,,,,,,,,
56,Avery/Fake Avery Slip,9 - 11,tan to brown,,slip or engobe,,,Grolleg	57.00,Kentucky OM #4	35.00,Nepheline syenite	8.00,,,,,,,,,,
57,Base 8A,10,Clear,,,Ox. or Red.,,Frit 3110	36.40,Lithium carbonate	8.00,Barium carbonate	6.80,EPK	20.40,Flint	28.40,,,,,,,,
58,Base Ayumi's Tuesday,10,,,Satin matt,Reduction,Opaque,Kona F-4 feldspar	40.00,Whiting	10.00,Dolomite	15.00,EPK	15.00,Flint	10.00,Magnesium carbonate	10.00,Bone ash	6.00,,,,,,
59,Base Ayumi's Tuesday,10,White,,Satin matt,Reduction,,Kona F-4 feldspar	40.00,Whiting	10.00,Dolomite	15.00,EPK	15.00,Flint	10.00,Magnesium carbonate	10.00,Bone ash	6.00,,,,,,
60,Base Ayumi's Tuesday recalc,10,White,,Satin matt,Reduction,,Nepheline syenite	28.50,Talc	26.50,Kaolin - theoretical	15.60,Silica	6.80,Bone ash	22.60,,,,,,,,
61,Base F Ayumi's,10,,,,Ox. or Red.,,Kona F-4 feldspar	36.40,Dolomite	11.00,Whiting	5.50,Strontium carbonate	20.00,Soda ash	3.60,EPK	18.00,Flint	5.50,,,,,,
62,Base GG Bohls,9,White,,Gloss,Oxidation,Semi-opaque,Flint	33.50,Custer feldspar	23.00,Dolomite	14.50,Kaolin	12.50,Whiting	11.00,Barium carbonate	1.00,Gerstley borate	4.00,Tin oxide	0.50,,,,,
63,Base K Ayumi's,10,,,,Reduction,,Strontium carbonate	45.00,EPK	10.00,Flint	10.00,Whiting	10.00,Talc theoretical	20.00,Zinc oxide	5.00,,,,,,,
64,Base Randy's,6 - 10,,Untested,,Ox. or Red.,,Silica	29.70,EPK	4.95,Soda feldspar	19.80,Talc	13.86,Gerstley borate	31.68,,,,,,,,
65,Base Transparent,10,transparent,Untested,,Ox. or Red.,,Kona Feldspar	36.36,Whiting	20.45,EPK	11.36,Silica	31.82,,,,,,,,,
66,Base Val's AA,10,,,Satin matt,Reduction,Opaque,Cornwall Stone	46.00,Whiting	34.00,EPK	20.00,,,,,,,,,,
67,Base Val's AA Horie,10,White,,Satin matt,,Opaque,Cornwall Stone	46.00,Whiting	34.00,EPK	20.00,,,,,,,,,,
68,Berry Rust (new),10,brown?,,,,,Silica	25.13,EPK	22.69,Nepheline syenite	8.61,Ferro frit 3134	19.93,Bone ash	8.97,Talc	14.67,Red iron oxide	8.59,,,,,,
69,Berryrust,7 - 10,cranberry rust red,,,,,Silica	27.27,EPK	18.18,Nepheline syenite	18.18,Dolomite	9.09,Gerstley borate	9.09,Talc	9.09,Bone ash	9.09,Red iron oxide	9.09,,,,,
70,Black #1223 Glossy,10,black,Untested,glossy,reduction,,Barium carbonate	2.50,Whiting	16.00,Custer feldspar	49.50,OM-4 Ball Clay	10.00,Silica	22.00,Chrome oxide	1.28,Cobalt oxide	4.93,Manganese dioxide	2.46,Red iron oxide	4.96,,,,
71,Black #27,9 - 10,black,Untested,,reduction,,Custer feldspar	43.16,Dolomite	12.63,Whiting	2.11,Tennessee #5 Ball Clay	7.37,Silica	34.74,Iron Oxide	6.00,Rutile	4.00,,,,,,
72,Black (from Dennis Olson),10,black,,glossy,reduction,,Dolomite	5.00,Whiting	6.00,Soda feldspar	67.00,EPK kaolin	5.00,Flint	17.00,Cobalt carbonate	3.00,Red iron oxide	4.00,Bentonite	1.00,,,,,
73,Black B V.C.,10,Black,Untested,Satin-Matt,Ox or Red,Opaque,Albany slip	65.00,Nepheline syenite	15.00,Barium carbonate	10.00,Talc	10.00,Chrome oxide	1.00,Manganese dioxide	2.00,Cobalt oxide	1.00,Iron oxide	4.00,,,,,
74,Black Barnard,10,black,Untested,dry matte,Reduction,,Barnard clay	88.00,Nepheline syenite	12.00,Cobalt oxide	1.50,,,,,,,,,,
75,Black breaking blue,8 - 10,Black,,Gloss,Reduction,Opaque,Custer feldspar	32.70,Silica	32.70,Whiting	15.40,Kentucky OM #4	9.60,EPK	9.60,Red iron oxide	8.00,Cobalt carbonate	3.80,,,,,,
76,Black Brouillard Charcoal,10,Black,,,Reduction,Opaque,G-200 feldspar	34.00,Ball clay	11.00,Custer spar	24.00,Dolomite	8.00,Flint	8.00,Whiting	4.00,Zircopax	2.00,Black Mason Stain	4.00,Red iron oxide	4.00,,,,
77,Black Charlie D Manganese,10,black,Untested,satin,reduction,Opaque,Custer spar	20.00,Kona F-4 feldspar	20.00,Whiting	2.00,Dolomite	15.00,Talc	13.00,Ball clay	10.00,Flint	20.00,Bentonite	2.00,Manganese dioxide	4.00,,,,
78,Black H38-40 Sondahl Gloss,8 - 10,black,,glossy,oxidation,Opaque,Dolomite	8.49,Custer feldspar	23.28,Nepheline syenite	8.79,Kaolin	13.69,Flint	16.18,Kona F-4 spar	16.68,Wollastonite	6.69,Bone ash	1.50,Whiting	4.70,Red iron oxide	1.50,Cobalt carbonate	2.30,Copper carbonate	2.30,
79,Black Hendley's Rhodes,10,Black,,satin matte,reduction,,Minspar Soda Feldspar	57.00,EPK	9.00,Redart	25.00,Dolomite	6.50,Whiting	2.50,Red iron oxide	5.00,Manganese dioxide	3.70,Cobalt oxide	1.30,,,,,
80,Black Hendley's Rhodes,10,Black,,satin matte,reduction,,Minspar Soda Feldspar	57.00,EPK	9.00,Redart	25.00,Dolomite	6.50,Whiting	2.50,Red iron oxide	5.00,Manganese dioxide	3.70,Cobalt oxide	1.30,,,,,
81,Black Kelly Cowan's,10,black,,Satin matt,Reduction,Opaque,Dolomite	20.00,Soda feldspar	42.00,EPK	18.00,Flint	20.00,Bentonite	1.00,Red iron oxide	3.50,Chrome oxide	3.50,Manganese dioxide	3.50,,,,,
82,Black Loretta,10,Black,Untested,satin matt,Ox. or Red.,Opaque,Nepheline syenite	16.67,Albany Slip Clay	83.33,"Cobalt Oxide, Black	5.55",,,,,,,,,,
83,Black Matte,9,Black,,Satin matt,Reduction,Semi-opaque,Cornwall Stone	42.00,Dolomite	15.00,Whiting	10.00,EPK	23.00,Flint	10.00,ochre	6.00,Cobalt carbonate	2.00,Chromium oxide	1.00,,,,,
84,Black McKensie Decorative,10,Black,Untested,,Reduction,Opaque,Talc	5.00,Soda feldspar	42.00,Calcined kaolin	13.00,Ball clay	8.00,Whiting	15.00,Silica	17.00,Cobalt carbonate	1.20,Chrome oxide	2.20,Iron oxide	10.00,Manganese dioxide	3.00,,,
85,Black Mirror,10,Black,,Gloss,Ox. or Red.,Opaque,Barnard clay	9.45,Custer feldspar	49.60,Whiting	15.35,Barium carbonate	2.36,Flint	23.24,Manganese dioxide	2.36,Cobalt oxide	3.54,Chrome oxide	1.18,Red iron oxide	4.72,,,,
86,Black Noir Lindo Gloss,8-10,Black,Tested,Gloss,Reduction,Opaque,G-200 spar	45.30,Whiting	19.30,Flint	11.60,EPK	24.00,Zinc oxide	5.00,Rutile	3.00,Tin oxide	2.00,Cobalt oxide	1.00,Red iron oxide	8.00,Manganese dioxide	3.00,,,
87,Black perfect,10,Black,Untested,,Reduction,,Potash feldspar	42.00,Whiting	13.00,Zinc oxide	12.00,Soda ash	3.00,Kaolin	8.00,Silica	22.00,Iron oxide	4.00,Cobalt carbonate	2.00,Chrome oxide	4.00,,,,
88,Black Peter's Metallic,5 - 10,Black,Untested,,Ox. or Red.,Opaque,Custer feldspar	78.84,Colemanite	10.69,Whiting	5.51,EPK	4.96,Copper carbonate	4.19,Manganese dioxide	4.19,Cobalt carbonate	2.09,,,,,,
89,BLACK SATIN,9 - 10,black,,satin matte,Reduction,Opaque,Kona F-4 feldspar	20.00,Custer feldspar	20.00,Dolomite	15.00,Talc	13.00,Whiting	2.00,Ball clay	10.00,Flint	20.00,Iron oxide	3.00,Cobalt oxide	2.00,Manganese dioxide	1.00,Chrome oxide	3.00,,
90,BLACK SATIN MATT V.C.,10,black,Tested,Satin matt,Reduction,Opaque,Kona F-4  Spar	20.00,Custer feldspar	20.00,Dolomite	15.00,Talc	13.00,Whiting	2.00,Ball clay	10.00,Flint	20.00,Chrome oxide	1.00,Red iron oxide	3.00,Manganese dioxide	2.00,Cobalt oxide	3.00,,
91,Black Shige's,9-10,Black,Tested,Semi-gloss,Reduction,Opaque,Kona F-4 feldspar	67.00,Whiting	6.00,Dolomite	5.00,EPK	5.00,Silica	17.00,Red iron oxide	5.00,Cobalt carbonate	3.00,Bentonite	2.00,,,,,
92,Black Sloan's,10,charcoal black,Untested,satin matt,reduction,,Potash feldspar	43.10,Whiting	18.40,Silica	11.00,Kaolin	22.80,Zinc oxide	4.70,Tin oxide	1.90,Rutile	2.90,Cobalt oxide	1.00,Red iron oxide	7.60,,,,
93,Black Sloan's,10,charcoal black,Untested,satin matt,reduction,Opaque,Potash feldspar	43.07,Whiting	18.41,Silica	11.01,Kaolin	22.77,Zinc oxide	4.74,Tin oxide	1.90,Rutile	2.85,Cobalt oxide	0.95,Red iron oxide	7.59,,,,
94,Black Sloan's  revisited,10 - 11,black,,satin to gloss,,Opaque,Custer spar	45.85,Flint	24.45,Whiting	14.19,Ball clay	8.73,Borax	4.59,Zinc oxide	2.18,Cobalt oxide	5.02,Red iron oxide	3.28,Chrome oxide	1.09,,,,
95,Black Sloan's revisited,10 - 11,black,,satin to gloss,,,Custer spar	45.85,Flint	24.45,Whiting	14.19,Ball clay	8.73,Borax	4.59,Zinc oxide	2.18,Cobalt oxide	5.02,Red iron oxide	3.28,Chrome oxide	1.09,,,,
96,Black St John's,10,Black,Untested,,Reduction,,Albany slip	75.00,Nepheline syenite	25.00,Cobalt carbonate	5.00,,,,,,,,,,
97,Black St John's Brian's,10,black,,Matt,Reduction,Opaque,Nepheline syenite	25.05,Dolomite	8.53,Soda ash	0.05,Whiting	3.59,Custer feldspar	3.18,Redart clay	43.82,EPK	2.41,Silica	13.36,Cobalt carbonate	5.01,Rutile	0.21,,,
98,Black St John's by Brian Voth,10,black,Untested,,reduction,,Nepheline syenite	25.05,Dolomite	8.53,Soda ash	0.05,Whiting	3.59,Custer feldspar	3.18,Redart clay	43.82,EPK	2.41,Silica	13.36,Cobalt carbonate	5.01,Rutile	0.21,,,
99,Black St. John's Alberta Slip,9,Black,,Gloss,Ox. or Red.,Opaque,Alberta slip	80.00,Nepheline syenite	20.00,Cobalt oxide	5.00,,,,,,,,,,
100,Black Super,10,Black,,,Reduction,,Potash feldspar	34.00,Whiting	16.00,Silica	34.00,EPK	20.00,Iron oxide	6.00,Copper carbonate	5.00,,,,,,,
101,Black Tenmoku,9 - 10,brown to black,Untested,glossy shiny,reduction,,Potash feldspar	57.14,Whiting	15.38,Kaolin	6.59,Silica	20.88,Red iron oxide	9.89,,,,,,,,
102,Black V.C. Satin,9-10,Black,,Satin matt,Reduction,Opaque,Custer feldspar	20.00,Kona F-4 feldspar	20.00,Flint	20.00,Dolomite	15.00,Talc	13.00,Kentucky OM #4	10.00,Whiting	2.00,Red iron oxide	3.00,Cobalt oxide	3.00,Manganese dioxide	2.00,Green chrome oxide	1.00,,
103,Blacksmith,10,Black,untested,Satin matt,Reduction,Opaque,Custer feldspar	51.40,Dolomite	17.10,Whiting	2.90,EPK	28.60,Manganese dioxide	2.00,Cobalt carbonate	3.00,Green chrome oxide	1.00,Red iron oxide	4.00,Bentonite	2.00,,,,
104,Blanc cendrCone: 8-10,,Cream white,Tested,Gloss,Reduction,Opaque,Custer spar	30.00,Hardwood ash	30.00,Flint	30.00,Ball clay	10.00,Ultrox	15.00,,,,,,,,
105,Blanc de Michel,8-10,Satin white,Tested,Semi-gloss,Reduction,Opaque,Custer spar	36.00,Spodumene	14.00,Whiting	25.00,Colemanite	5.00,EPK	20.00,Zircopax	5.00,,,,,,,
106,Blanc Julien GlacCone: 8-10,,White,Tested,Gloss,Reduction,Opaque,Custer spar	62.50,Ball clay	5.68,Spodumene	9.09,Whiting	17.04,Zinc oxide	5.68,Zircopax	12.00,,,,,,,
107,Blatant Blue,9 - 10,deep blue,,glossy,reduction,,Flint	32.65,Whiting	19.39,G-200 feldspar	27.55,Kentucky OM #4	20.41,Cobalt carbonate	2.04,,,,,,,,
108,Bleached Albany,10,,,,Reduction,,Alberta slip	64.00,Whiting	20.00,EPK	16.00,,,,,,,,,,
109,Bleu Bass,8-10,Deep blue,Tested,Gloss,Reduction,Opaque,Custer spar	30.00,Hardwood ash	30.00,Flint	30.00,Ball clay	10.00,Ultrox	15.00,Cobalt oxide	5.00,,,,,,,
110,Bleu texturCone: 8-10,,Blue textured,Tested,Semi-gloss,Reduction,Opaque,Custer spar	38.50,Whiting	16.00,Strontium carbonate	5.00,EPK	19.70,Flint	15.10,Rutile	4.50,Cobalt carbonate	2.40,,,,,,
111,Blue  Carlton Mottled revised,9 - 10,rutile blue,,glossy,reduction,Opaque,G-200 feldspar	43.72,EPK	1.87,Flint	28.25,Whiting	2.70,Gerstley borate	9.14,Dolomite	9.14,Zinc oxide	1.77,Strontium carbonate	3.43,Tin oxide	2.70,Rutile	4.15,Copper carbonate	0.52,Bentonite	3.12,
112,Blue Aldrich,9,blue,,semi-matte,Ox. or Red.,Opaque,Custer feldspar	38.00,Dolomite	17.00,Whiting	6.00,EPK	22.00,Silica	17.00,Cobalt carbonate	1.00,Rutile (powdered)	2.00,Rutile (granular)	1.00,,,,,
113,Blue Anderson,9 - 10,"black to green, blue",,matte,reduction,,Soda feldspar	57.10,EPK	14.30,Kentucky OM #4	7.20,Whiting	21.40,Cobalt carbonate	7.20,,,,,,,,
114,Blue c10,10,,,,Reduction,,Cornwall Stone	20.40,Kona F-4	26.50,Whiting	9.20,Dolomite	10.20,Talc	6.10,EPK	4.10,Calcined kaolin	15.30,Flint	8.20,Bentonite	2.00,Cobalt carbonate	0.50,,,
115,Blue Carlton Mottled,9 - 10,lavender to blue,,glossy,reduction,Opaque,G-200 feldspar	43.70,EPK	1.90,Flint	28.30,Whiting	2.70,Gerstley borate	9.10,Dolomite	9.10,Zinc oxide	1.80,Strontium carbonate	3.40,Tin oxide	2.70,Rutile	4.20,Copper carbonate	0.50,Bentonite	3.10,
116,Blue Chun Glaze,9 - 10,pale blue,Untested,Shiny or Glossy,reduction,,Potash feldspar	54.80,Whiting	13.70,Bone ash	1.40,Barium carbonate	2.70,Silica	27.40,Red iron oxide	1.10,,,,,,,
117,Blue Cobalt Midnight,9 - 10,dark blue,,glossy,reduction,,Flint	31.00,Whiting	20.00,G-200 feldspar	33.00,EPK	14.00,Spodumene	2.00,Cobalt carbonate	7.00,,,,,,,
118,Blue Cool,8 - 9,grey blue,,,,,Nepheline syenite	28.00,Dolomite	12.00,Whiting	7.00,Barium carbonate	6.00,Lithium carbonate	1.00,EPK	10.00,Silica	36.00,Bentonite	3.00,Copper carbonate	2.00,Cobalt carbonate	0.25,,,
119,Blue Dark Gloss,10,dark blue,Untested,Gloss,reduction,,Kona F-4 feldspar	44.00,Silica	28.00,Whiting	18.00,Kaolin	10.00,Cobalt carbonate	1.00,Red iron oxide	1.00,,,,,,,
120,Blue Dark Shiny,9,Blue,,Gloss,Ox. or Red.,,Kona F-4 feldspar	40.30,Flint	21.50,Whiting	14.10,Ball clay	3.40,Cornwall Stone	20.70,Cobalt carbonate	2.50,Copper carbonate	4.00,,,,,,
